Площадь Ильича | Площадь⏎Ильича | x=1305.0116 | y=753.7504 | align=left | imp=2 | w=66.3200 | h=37.9200 | rect=1305.0116,734.7904,1371.3316,772.7104 | zone=321.8901 | anchor=1281.5501,770.7962 | ids=10/rimskaya+8/ploshchad-ilicha
Крестьянская Застава | Крестьянская⏎Застава | x=1336.4799 | y=943.0429 | align=right | imp=2 | w=104.5600 | h=37.9200 | rect=1231.9199,924.0829,1336.4799,962.0029 | zone=377.8100 | anchor=1313.7026,891.8843 | ids=10/krestyanskaya-zastava+7/proletarskaya
Ленинский проспект | Ленинский⏎проспект | x=885.8112 | y=1113.4111 | align=left | imp=2 | w=78.8800 | h=37.9200 | rect=885.8112,1094.4511,964.6912,1132.3711 | zone=399.4342 | anchor=881.8391,1151.2029 | ids=6/leninskiy-prospekt+95/ploshchad-gagarina
Динамо | Динамо | x=705.3354 | y=429.6444 | align=left | imp=2 | w=57.7600 | h=18.0000 | rect=705.3354,420.6444,763.0954,438.6444 | zone=444.3062 | anchor=691.7801,405.1444 | ids=2/dinamo+97/petrovskiy-park
Полежаевская | Полежаевская | x=540.0835 | y=486.0076 | align=left | imp=2 | w=109.1200 | h=18.0000 | rect=540.0835,477.0076,649.2035,495.0076 | zone=524.1991 | anchor=517.2582,478.5912 | ids=7/polezhaevskaya+97/khoroshevskaya
Севастопольская | Севастопольская | x=1086.6423 | y=1275.4466 | align=right | imp=2 | w=130.2400 | h=18.0000 | rect=956.4023,1266.4466,1086.6423,1284.4466 | zone=560.2580 | anchor=1095.6038,1303.0273 | ids=9/sevastopolskaya+97/kakhovskaya
Калужская | Калужская | x=750.2402 | y=1317.6637 | align=left | imp=2 | w=83.4400 | h=18.0000 | rect=750.2402,1308.6637,833.6802,1326.6637 | zone=564.4711 | anchor=875.9602,1317.6637 | ids=6/kaluzhskaya+97/vorontsovskaya
Локомотив | Локомотив | x=1336.6535 | y=260.5641 | align=left | imp=2 | w=83.4400 | h=18.0000 | rect=1336.6535,251.5641,1420.0935,269.5641 | zone=609.0641 | anchor=1312.7849,263.0728 | ids=1/cherkizovskaya+95/lokomotiv
Лермонтовский проспект | Лермонтовский⏎проспект | x=1717.4979 | y=1003.5987 | align=right | imp=2 | w=117.6800 | h=37.9200 | rect=1599.8179,984.6387,1717.4979,1022.5587 | zone=798.0326 | anchor=1734.4938,951.2906 | ids=7/lermontovskiy-prospekt+98/kosino
Новоясеневская | Новоясеневская | x=928.5983 | y=1648.3329 | align=right | imp=2 | w=121.6800 | h=18.0000 | rect=806.9183,1639.3329,928.5983,1657.3329 | zone=819.4059 | anchor=886.5983,1575.5868 | ids=12/bittsevskiy-park+6/novoyasenevskaya
